Role	Rank	Last_word	pos	case	gender	animacy	number	link_name	t	r
пациенс	периферия	маньяка	S	acc	m	anim	sg	dobj	hum	concr
пациенс	объект	кузова	S	acc	m	inan	pl	dobj	tool famn hum	propn concr
пациенс	объект	представителей	S	acc	m	anim	pl	nmod	hum	concr
пациенс	объект	смесь	S	acc	f	inan	sg	dobj		concr
пациенс	объект	запись	S	acc	f	inan	sg	dobj	put	abstr
пациенс	объект	самолёт	S	acc	m	inan	sg	dobj	tool:transp	concr
пациенс	периферия	катанием	S	ins	n	inan	sg	dobj		abstr
пациенс	объект	трубки	S	acc	f	inan	pl	dobj	tool	concr
пациенс	периферия	билеты	S	acc	m	inan	pl	dobj	doc	concr
пациенс	периферия	объедки	S	acc				nsubj		concr
пациенс	объект	медь	S	acc	f	inan	sg	conj	stuff	concr
пациенс	объект	прочность	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	бутылку	S	acc	f	inan	sg	dobj	tool:dish	concr
пациенс	объект	чтение	S	acc	inan	n	sg	dobj		abstr
пациенс	объект	которые	APRO	acc	inan	pl	acc	dobj	ord	rel
пациенс	контролер согласования	тему	S	acc	inan	f	sg	nmod	pers	
пациенс	периферия	пищей	S	ins	f	inan	sg	conj	food	concr
пациенс	объект	грубость	S	acc	f	inan	sg	nsubj		abstr
пациенс	контролер согласования	годом	S	ins	m	inan	sg	nmod	unit time:period	abstr
пациенс	контролер согласования	квадрате	S	loc	m	inan	sg	nmod	form:geom	concr
пациенс	контролер согласования	мнение	S	acc	n	inan	sg	dobj	ment	abstr
пациенс	периферия	астмой	S	ins	f	inan	sg	dobj	disease	abstr
пациенс	объект	компас	S	acc	m	inan	sg	dobj	tool:device:measur:metr	concr
пациенс	объект	прибавления	S	acc	n	inan	pl	dobj		abstr
пациенс	объект	представление	S	acc	n	inan	sg	dobj	ment	abstr
пациенс	периферия	живот	S	acc	m	inan	sg	dobj		concr
пациенс	несобственный	дядьку	S	acc	m	anim	sg	nmod	hum	concr
пациенс	объект	булгакова	S	acc	famn	m	anim	name	hum famn	propn
пациенс	объект	конгресс	S	acc	m	inan	sg	dobj	action	abstr
пациенс	объект	партии	S	loc	f	inan	sg	nmod	org	concr
пациенс	периферия	варом	S	ins	m	inan	sg	dobj	stuff	concr
пациенс	периферия	головой	S	ins	f	inan	sg	nmod		concr
пациенс	периферия	рюмки	S	acc	f	inan	pl	dobj	tool:dish	concr
пациенс	объект	воротнички	S	acc	m	inan	pl	dobj		concr
пациенс	периферия	чайником	S	ins	m	inan	sg	nmod	tool:dish	concr
пациенс	объект	веко	S	acc	n	inan	sg	dobj		concr
пациенс	объект	бороду	S	acc	f	inan	sg	dobj	hair	concr
пациенс	объект	издание	S	acc	n	inan	sg	dobj		abstr
пациенс	объект	дознание	S	acc	n	inan	sg	dobj		abstr
пациенс	периферия	своим	APRO	ins	m	sg	ins	det		poss
пациенс	несобственный	глазами	S	ins	m	inan	pl	nmod		concr
пациенс	контролер согласования	крышу	S	acc	f	inan	sg	dobj		concr
пациенс	объект	спуск	S	acc	m	inan	sg	nmod	move	abstr
пациенс	несобственный	капли	S	acc	f	inan	pl	dobj		concr
пациенс	объект	работу	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	представителей	S	acc	m	anim	pl	nmod	hum	concr
пациенс	объект	чай	S	acc	m	inan	sg	dobj	plant:bush	concr
пациенс	периферия	дудником	S	ins	m	inan	sg	nmod	hum plant famn	propn concr
пациенс	контролер согласования	порядок	S	acc	m	inan	sg	dobj		abstr
пациенс	периферия	болезнью	S	ins	f	inan	sg	nmod:agent	disease	abstr
пациенс	объект	сферу	S	acc	f	inan	sg	nmod	space	abstr
пациенс	объект	президента	S	acc	m	anim	sg	dobj	hum	concr
пациенс	периферия	критикой	S	ins	f	inan	sg	nmod		abstr
пациенс	объект	телевизор	S	acc	m	inan	sg	dobj	tool:device	concr
пациенс	объект	стратегию	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	письма	S	acc	n	inan	pl	nsubj	text	concr
пациенс	объект	кусочек	S	acc	m	inan	sg	dobj		concr
пациенс	объект	улей	S	acc	m	inan	sg	conj	tool	concr
пациенс	периферия	буквами	S	ins	f	inan	pl	dobj	letter	concr
пациенс	объект	инструктаж	S	acc	m	inan	sg	dobj		abstr
пациенс	объект	сумму	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	теорию	S	acc	f	inan	sg	dobj		abstr
пациенс	периферия	трюмах	S	loc	m	inan	pl	nmod	room	concr
пациенс	периферия	содержанием	S	ins	n	inan	sg	nmod		abstr
пациенс	периферия	иконой	S	ins	f	inan	sg	nmod	workart	concr
пациенс	объект	акцию	S	acc	f	inan	sg	dobj	doc	concr abstr
пациенс	объект	доску	S	acc	f	inan	sg	nmod		concr
пациенс	периферия	кота	S	acc	m	anim	sg	dobj	animal	concr
пациенс	объект	датчан	S	acc	m	anim	pl	nmod	hum:etn	concr
пациенс	объект	захват	S	acc	m	inan	sg	nmod		abstr
пациенс	периферия	бабушкой	S	ins	f	anim	sg	dobj	hum:kin	concr
пациенс	периферия	кандидата	S	acc	m	anim	sg	nmod	hum	concr
пациенс	периферия	приключениях	S	loc	n	inan	pl	nmod		abstr
пациенс	периферия	проблеме	S	loc	inan	f	sg	conj	ment	abstr
пациенс	объект	изменения	S	acc	n	inan	pl	dobj		abstr
пациенс	объект	произведение	S	acc	n	inan	sg	dobj	text workdram workmus workart workcin	concr
пациенс	объект	телефон	S	acc	m	inan	sg	conj	tool:device	concr
пациенс	объект	женщин	S	acc	f	anim	pl	dobj	hum	concr
пациенс	объект	сопли	S	acc				ROOT	stuff	concr
пациенс	объект	несколько	NUM	acc				nmod		
пациенс	несобственный	компенсацию	S	acc	f	inan	sg	dobj	poss	abstr
пациенс	объект	лошадей	S	acc	f	anim	pl	dobj	animal	concr
пациенс	периферия	юбилее	S	loc	m	inan	sg	advmod	time	abstr
пациенс	объект	платок	S	acc	m	inan	sg	dobj	access tool:cloth	concr
пациенс	объект	заводы	S	acc	m	inan	pl	conj	org	concr
пациенс	объект	проблему	S	acc	f	inan	sg	dobj	ment	abstr
пациенс	объект	нагрузку	S	acc	f	inan	sg	dobj	put	abstr
пациенс	периферия	пониманием	S	ins	n	inan	sg	dobj	ment	abstr
пациенс	периферия	категории	S	loc	inan	f	pl	nsubj	hier	abstr
пациенс	объект	варьку	S	acc	persn	m	anim	cc	hum persn	propn
пациенс	периферия	деле	S	loc	n	inan	sg	nmod		abstr
пациенс	объект	повышение	S	acc	n	inan	sg	dobj		abstr
пациенс	периферия	систему	S	acc	f	inan	sg	dobj		abstr
пациенс	периферия	гамлетом	S	ins	persn	m	anim	nmod	hum persn	propn
пациенс	объект	слюной	S	ins	f	inan	sg	dobj	stuff liq	concr
пациенс	объект	базу	S	acc	f	inan	sg	nmod		concr
пациенс	периферия	мыслями	S	ins	f	inan	pl	nmod:agent	ment	abstr
пациенс	периферия	детали	S	acc	f	inan	pl	dobj		concr
пациенс	объект	пироги	S	acc	m	inan	pl	nsubj	food	concr
пациенс	периферия	всем	SPRO	loc	n	sg	loc	nmod		spec
пациенс	объект	ткани	S	loc	f	inan	sg	nmod	stuff	concr
пациенс	периферия	лошадью	S	ins	f	anim	sg	dobj	animal	concr
пациенс	периферия	них	SPRO	acc	pl	3p	acc	dobj		pers
пациенс	периферия	неприятием	S	ins	n	inan	sg	dobj		abstr
пациенс	объект	стену	S	acc	f	inan	sg	dobj		concr
пациенс	объект	звуки	S	acc	m	inan	pl	conj	sound	abstr
пациенс	объект	гамму	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	продукцию	S	acc	f	inan	sg	dobj		concr
пациенс	периферия	съездах	S	loc	m	inan	pl	nmod	move	abstr
пациенс	объект	никого	SPRO	acc	sg	m	acc	dobj		neg
пациенс	периферия	альбом	S	acc	m	inan	sg	nmod	book	concr
пациенс	субъект	что	SPRO	acc	n	sg	acc	dobj		rel
пациенс	периферия	нами	SPRO	ins	pl	1p	ins	nmod		pers
пациенс	объект	программку	S	acc	f	inan	sg	dobj	text	concr
пациенс	объект	сервантик	S	acc	m	inan	sg	dobj		
пациенс	объект	дядю	S	acc	m	anim	sg	dobj	hum:kin	concr
пациенс	периферия	сюртук	S	acc	m	inan	sg	dobj	tool:cloth	concr
пациенс	объект	разрешение	S	acc	n	inan	sg	dobj		abstr
пациенс	объект	книжку	S	acc	f	inan	sg	dobj	text	concr
пациенс	периферия	что-то	SPRO	acc	n	sg	acc	advcl		indet
пациенс	объект	ничего	SPRO	acc	n	sg	acc	dobj		neg
пациенс	периферия	него	SPRO	acc	n	sg	3p	nmod		pers
пациенс	контролер согласования	связи	S	loc	f	inan	sg	nmod	inter	abstr
пациенс	объект	думку	S	acc	f	inan	sg	dobj	ment tool	abstr concr
пациенс	периферия	мерах	S	loc	f	inan	pl	nmod	unit	abstr
пациенс	периферия	планах	S	loc	m	inan	pl	nmod	workart	concr
пациенс	объект	приверженность	S	acc	f	inan	sg	dobj		abstr
пациенс	периферия	героем	S	ins	m	anim	sg	dobj	hum	concr
пациенс	периферия	суперпризе	S	loc	m	inan	sg	nmod		
пациенс	объект	дань	S	acc	f	inan	sg	dobj	poss	abstr
пациенс	объект	кандидата	S	acc	m	anim	sg	nmod	hum	concr
пациенс	объект	блин	S	acc	m	inan	sg	dobj	food	concr
пациенс	контролер согласования	рукой	S	ins	f	inan	sg	dobj		concr
пациенс	объект	посредничество	S	acc	n	inan	sg	dobj	inter	abstr
пациенс	объект	образ	S	acc	m	inan	sg	dobj	ment workart	concr abstr
пациенс	объект	цены	S	acc	f	inan	pl	dobj		
пациенс	объект	себя	SPRO	acc				dobj		ref
пациенс	объект	огонёк	S	acc	m	inan	sg	dobj	stuff	concr
пациенс	периферия	заявлениями	S	ins	inan	n	pl	nmod	speech text	abstr concr
пациенс	объект	кружочки	S	acc	m	inan	pl	nmod	form:geom	concr
пациенс	объект	огнем	S	ins	inan	m	sg	conj	stuff	concr
пациенс	объект	предписание	S	acc	n	inan	sg	dobj		abstr
пациенс	периферия	меня	SPRO	acc	sg	anim	1p	dobj		pers
пациенс	контролер согласования	дусю	S	acc	persn	f	anim	dobj	hum persn	propn
пациенс	объект	возможность	S	acc	f	inan	sg	dobj	mod	abstr
пациенс	объект	тайм-аут	S	acc	m	inan	sg	dobj	time	abstr
пациенс	периферия	крепостью	S	ins	f	inan	sg	conj	constr param	abstr concr
пациенс	объект	пулемёт	S	acc	m	inan	sg	dobj	tool:weapon	concr
пациенс	объект	самосовершенствование	S	acc	n	inan	sg	dobj		abstr
пациенс	периферия	корпус	S	acc	m	inan	sg	nmod		concr
пациенс	объект	даму	S	acc	f	anim	sg	dobj	hum	concr
пациенс	периферия	друга	S	acc	m	anim	sg	mwe	hum	concr
пациенс	объект	том	SPRO	loc	n	sg	loc	nmod		dem
пациенс	периферия	объект	S	acc	m	inan	sg	dobj		abstr
пациенс	объект	слезу	S	acc	f	inan	sg	dobj	stuff liq	concr
пациенс	объект	удар	S	acc	m	inan	sg	nsubj	impact	abstr
пациенс	периферия	гуталином	S	ins	m	inan	sg	conj	stuff	concr
пациенс	контролер согласования	слова	S	acc	n	inan	pl	dobj	word	concr abstr
пациенс	объект	поддержку	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	баранова	S	acc	famn	m	anim	dobj	hum famn	propn
пациенс	объект	учёт	S	acc	m	inan	sg	conj		abstr
пациенс	объект	деньги	S	acc	f	inan	pl	nmod	money	concr
пациенс	объект	предприятие	S	acc	n	inan	sg	nsubj	org	concr
пациенс	объект	гуся	S	acc	m	anim	sg	nsubj	animal	concr
пациенс	объект	возможность	S	acc	f	inan	sg	dobj	mod	abstr
